GEO_ID,NAME,totpop,u5,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p
12086000107,"Census Tract 1.07, Miami-Dade County, Florida",2699,39,128,49,70,77,452,303,479,418,515,125,44
12086000109,"Census Tract 1.09, Miami-Dade County, Florida",2991,184,127,140,318,213,394,484,473,448,174,36,0
12086000113,"Census Tract 1.13, Miami-Dade County, Florida",7966,207,278,341,203,284,1056,1280,1098,1140,1192,570,317
12086000115,"Census Tract 1.15, Miami-Dade County, Florida",2713,159,91,162,120,365,371,227,361,378,226,185,68
12086000118,"Census Tract 1.18, Miami-Dade County, Florida",977,32,45,19,58,37,55,106,149,190,165,100,21
12086000119,"Census Tract 1.19, Miami-Dade County, Florida",4082,119,118,238,103,157,379,422,690,751,522,307,276
12086000120,"Census Tract 1.20, Miami-Dade County, Florida",4331,136,160,351,185,221,448,714,880,615,284,218,119
12086000121,"Census Tract 1.21, Miami-Dade County, Florida",1397,69,96,45,20,74,167,77,108,238,268,179,56
12086000122,"Census Tract 1.22, Miami-Dade County, Florida",4348,344,176,39,170,61,427,484,579,769,523,439,337
12086000123,"Census Tract 1.23, Miami-Dade County, Florida",4157,136,140,134,155,109,531,477,569,657,692,407,150
12086000124,"Census Tract 1.24, Miami-Dade County, Florida",3199,174,131,96,318,464,523,380,422,378,224,31,58
12086000125,"Census Tract 1.25, Miami-Dade County, Florida",2930,194,198,60,9,134,463,259,321,630,279,252,131
12086000126,"Census Tract 1.26, Miami-Dade County, Florida",2313,39,31,156,35,64,171,155,218,611,379,237,217
12086000127,"Census Tract 1.27, Miami-Dade County, Florida",2723,102,159,190,117,65,308,426,332,378,288,261,97
12086000128,"Census Tract 1.28, Miami-Dade County, Florida",3021,134,74,122,169,257,432,375,667,456,221,106,8
12086000129,"Census Tract 1.29, Miami-Dade County, Florida",2079,15,59,127,47,50,51,133,246,351,555,334,111
12086000130,"Census Tract 1.30, Miami-Dade County, Florida",2599,64,92,88,86,18,359,309,220,472,418,285,188
12086000131,"Census Tract 1.31, Miami-Dade County, Florida",3789,165,288,182,194,131,429,787,573,406,340,175,119
12086000132,"Census Tract 1.32, Miami-Dade County, Florida",4237,151,83,121,65,55,313,252,538,681,930,671,377
12086000133,"Census Tract 1.33, Miami-Dade County, Florida",6571,130,308,481,316,451,265,985,1244,990,874,365,162
12086000134,"Census Tract 1.34, Miami-Dade County, Florida",2834,54,136,116,58,240,313,260,469,462,370,229,127
12086000140,"Census Tract 1.40, Miami-Dade County, Florida",4213,165,296,265,86,132,721,839,806,600,198,65,40
12086000202,"Census Tract 2.02, Miami-Dade County, Florida",6717,372,328,536,361,420,989,809,968,921,498,262,253
12086000204,"Census Tract 2.04, Miami-Dade County, Florida",4873,204,272,312,162,339,1080,427,735,667,384,141,150
12086000206,"Census Tract 2.06, Miami-Dade County, Florida",6226,328,497,296,614,452,865,724,851,764,384,207,244
12086000209,"Census Tract 2.09, Miami-Dade County, Florida",9245,1028,536,759,483,588,1347,1269,1224,1038,537,335,101
12086000211,"Census Tract 2.11, Miami-Dade County, Florida",2812,107,127,155,231,212,467,417,374,353,263,73,33
12086000212,"Census Tract 2.12, Miami-Dade County, Florida",4709,404,253,269,182,495,811,770,596,542,234,96,57
12086000213,"Census Tract 2.13, Miami-Dade County, Florida",5005,359,469,361,352,369,690,395,880,452,439,188,51
12086000214,"Census Tract 2.14, Miami-Dade County, Florida",6754,711,716,342,625,312,1071,856,741,578,410,214,178
12086000215,"Census Tract 2.15, Miami-Dade County, Florida",4197,314,278,332,308,156,715,675,384,388,478,79,90
12086000216,"Census Tract 2.16, Miami-Dade County, Florida",4954,223,109,400,282,593,1023,485,400,804,475,56,104
12086000217,"Census Tract 2.17, Miami-Dade County, Florida",6545,531,411,413,532,513,1062,879,925,485,474,232,88
12086000218,"Census Tract 2.18, Miami-Dade County, Florida",3873,305,208,292,339,373,454,531,474,499,226,128,44
12086000219,"Census Tract 2.19, Miami-Dade County, Florida",5241,593,368,228,301,408,1195,703,371,618,240,176,40
12086000220,"Census Tract 2.20, Miami-Dade County, Florida",4674,407,165,309,312,205,819,869,650,422,352,148,16
12086000301,"Census Tract 3.01, Miami-Dade County, Florida",7769,828,461,192,423,399,1609,1017,546,1114,601,465,114
12086000302,"Census Tract 3.02, Miami-Dade County, Florida",2610,205,169,138,51,264,343,288,343,417,283,106,3
12086000305,"Census Tract 3.05, Miami-Dade County, Florida",8257,618,578,706,478,517,1164,1430,873,993,485,310,105
12086000306,"Census Tract 3.06, Miami-Dade County, Florida",5235,437,319,313,281,338,797,567,808,663,453,150,109
12086000307,"Census Tract 3.07, Miami-Dade County, Florida",4536,161,145,159,229,298,1065,445,407,820,406,303,98
12086000308,"Census Tract 3.08, Miami-Dade County, Florida",5681,321,259,356,399,420,952,770,560,893,504,192,55
12086000402,"Census Tract 4.02, Miami-Dade County, Florida",3713,179,245,311,254,423,650,326,396,727,28,96,78
12086000403,"Census Tract 4.03, Miami-Dade County, Florida",7829,572,362,574,377,780,1412,548,1304,953,468,382,97
12086000404,"Census Tract 4.04, Miami-Dade County, Florida",7219,346,532,683,453,554,522,1237,789,710,1058,312,23
12086000405,"Census Tract 4.05, Miami-Dade County, Florida",4157,202,149,283,384,325,637,359,607,638,377,100,96
12086000408,"Census Tract 4.08, Miami-Dade County, Florida",5858,371,418,458,334,477,887,586,677,829,614,132,75
12086000409,"Census Tract 4.09, Miami-Dade County, Florida",4995,377,254,438,315,478,919,474,712,458,390,112,68
12086000410,"Census Tract 4.10, Miami-Dade County, Florida",4444,245,379,248,213,335,670,449,562,645,390,218,90
12086000411,"Census Tract 4.11, Miami-Dade County, Florida",5418,523,346,305,385,390,703,1019,632,538,463,103,11
12086000412,"Census Tract 4.12, Miami-Dade County, Florida",7164,439,659,772,506,428,965,662,695,949,726,288,75
12086000413,"Census Tract 4.13, Miami-Dade County, Florida",4908,364,248,340,376,406,1023,527,515,614,287,163,45
12086000414,"Census Tract 4.14, Miami-Dade County, Florida",4676,316,302,197,317,554,395,927,452,678,239,228,71
12086000501,"Census Tract 5.01, Miami-Dade County, Florida",7093,433,357,520,683,802,908,778,870,774,576,319,73
12086000503,"Census Tract 5.03, Miami-Dade County, Florida",7548,379,522,882,727,552,922,975,1362,574,510,97,46
12086000504,"Census Tract 5.04, Miami-Dade County, Florida",4896,410,364,363,229,191,728,374,559,610,649,312,107
12086000505,"Census Tract 5.05, Miami-Dade County, Florida",6005,174,343,381,356,480,585,864,881,746,608,360,227
12086000601,"Census Tract 6.01, Miami-Dade County, Florida",4924,202,200,227,193,257,693,607,923,500,502,463,157
12086000602,"Census Tract 6.02, Miami-Dade County, Florida",5534,440,214,178,365,401,515,786,1057,588,485,344,161
12086000603,"Census Tract 6.03, Miami-Dade County, Florida",4983,118,162,197,269,294,607,817,811,643,503,414,148
12086000604,"Census Tract 6.04, Miami-Dade County, Florida",6216,188,380,236,306,413,730,577,1151,901,495,568,271
12086000605,"Census Tract 6.05, Miami-Dade County, Florida",4494,244,124,205,193,194,560,644,653,663,402,391,221
12086000607,"Census Tract 6.07, Miami-Dade County, Florida",4509,194,139,261,96,203,523,560,591,623,609,533,177
12086000608,"Census Tract 6.08, Miami-Dade County, Florida",6678,369,81,327,118,488,962,425,1275,931,1174,407,121
12086000705,"Census Tract 7.05, Miami-Dade County, Florida",5101,220,193,200,320,97,539,515,822,731,556,605,303
12086000706,"Census Tract 7.06, Miami-Dade County, Florida",7910,130,263,667,531,522,847,1218,1080,792,773,688,399
12086000707,"Census Tract 7.07, Miami-Dade County, Florida",7012,182,239,409,530,454,826,773,1154,721,945,508,271
12086000708,"Census Tract 7.08, Miami-Dade County, Florida",6116,263,176,206,232,169,941,779,1063,809,533,479,466
12086000709,"Census Tract 7.09, Miami-Dade County, Florida",6687,415,242,250,332,216,623,971,902,1026,801,541,368
12086000710,"Census Tract 7.10, Miami-Dade County, Florida",5394,228,251,241,311,300,745,798,818,482,709,430,81
12086000711,"Census Tract 7.11, Miami-Dade County, Florida",6236,277,297,390,252,400,785,619,1268,808,596,460,84
12086000712,"Census Tract 7.12, Miami-Dade County, Florida",2457,57,137,107,109,227,426,359,345,342,149,123,76
12086000804,"Census Tract 8.04, Miami-Dade County, Florida",4750,161,231,148,195,412,564,553,828,581,488,370,219
12086000805,"Census Tract 8.05, Miami-Dade County, Florida",5865,308,313,262,227,280,671,634,899,809,657,511,294
12086000806,"Census Tract 8.06, Miami-Dade County, Florida",4775,227,139,265,185,236,514,503,807,490,592,474,343
12086000807,"Census Tract 8.07, Miami-Dade County, Florida",3893,195,220,106,200,151,421,414,477,712,477,338,182
12086000808,"Census Tract 8.08, Miami-Dade County, Florida",4117,81,279,102,148,212,699,516,743,547,400,224,166
12086000901,"Census Tract 9.01, Miami-Dade County, Florida",7506,206,471,370,266,362,955,615,1405,1222,962,479,193
12086000902,"Census Tract 9.02, Miami-Dade County, Florida",5783,211,196,369,364,322,877,513,964,912,510,379,166
12086000903,"Census Tract 9.03, Miami-Dade County, Florida",3013,159,240,167,197,190,377,411,544,350,111,214,53
12086001002,"Census Tract 10.02, Miami-Dade County, Florida",6580,929,482,391,324,526,648,709,857,918,442,209,145
12086001003,"Census Tract 10.03, Miami-Dade County, Florida",5480,381,251,384,252,293,857,593,899,819,502,222,27
