tract,u1,1t4,5t9,10t14,15t19,20t24,25t34,35t44,45t54,55t64,65t74,75t84,85p,Total
12086000107,1,,,,,,,,,,3,3,4,11
12086000109,1,,,,,,1,3,1,4,5,2,,17
12086000113,,,,,,,1,1,,4,4,14,27,51
12086000115,,,,,,,,1,,1,4,3,5,14
12086000118,,,,,,,,,,,,1,1,2
12086000119,,,,,,,1,,2,2,6,8,34,53
12086000120,,,,,,,1,,1,2,6,4,14,28
12086000121,,,,,,,,,,,,3,8,11
12086000122,,,,,,,,,1,4,2,13,32,52
12086000123,1,,,,,,,1,3,2,5,10,13,35
12086000124,,,,,,,,,1,5,2,8,10,26
12086000125,,,,,,,,1,1,2,3,6,11,24
12086000126,,,,,,,,,1,1,2,9,18,31
12086000127,,,,,,,,1,2,5,6,4,8,26
12086000128,,,,,,,,,,1,2,3,10,16
12086000129,,,,,,,,,2,2,7,3,14,28
12086000130,,,,,,,,,1,1,2,2,17,23
12086000131,,,,,,1,1,,1,5,7,8,52,75
12086000132,,,,,,1,,1,1,4,10,17,36,70
12086000133,,,,,,,,1,1,4,4,12,17,39
12086000134,,,,,,,,,1,1,6,7,18,33
12086000140,,,,,,,,,,3,2,4,1,10
12086000202,2,,,,,,3,1,5,11,13,14,20,69
12086000204,,,,,,,3,1,2,9,13,3,6,37
12086000206,1,,,,,,1,3,4,5,3,8,4,29
12086000209,,,,,,1,3,1,1,9,14,8,9,46
12086000211,,,,,,1,,1,1,4,7,6,8,28
12086000212,,,,,,,,,2,1,4,11,9,27
12086000213,,,,,,,1,,3,4,3,3,9,23
12086000214,1,,,,,,,,2,5,,7,9,24
12086000215,,,,,,1,,1,1,6,7,2,5,23
12086000216,,,,,,,,,3,6,2,4,6,21
12086000217,1,1,,,,1,3,2,4,10,7,10,8,47
12086000218,1,,,,,,,,1,4,5,4,1,16
12086000219,2,,,,,,,4,3,4,9,5,11,38
12086000220,,,,,,,,,6,5,7,4,7,29
12086000301,1,,,2,,1,4,1,4,8,9,18,21,69
12086000302,,,,,,2,,1,1,2,,5,2,13
12086000305,,,,,1,1,2,7,3,7,14,12,19,66
12086000306,,,,,,1,2,1,2,15,12,11,9,53
12086000307,,,1,,,,,1,4,7,6,4,6,29
12086000308,,,,,,2,3,1,5,7,3,4,12,37
12086000402,,,,,,2,,,6,7,5,7,14,41
12086000403,2,,1,,,1,1,1,7,8,12,17,15,65
12086000404,1,,,,,1,5,2,6,13,16,7,9,60
12086000405,,,,,,1,5,1,2,7,4,9,9,38
12086000408,2,,,,,2,1,1,3,8,12,5,4,38
12086000409,1,,,,1,2,1,1,2,5,7,4,7,31
12086000410,,,,,,1,2,3,2,5,7,5,5,30
12086000411,,,1,,,,1,2,2,8,6,7,7,34
12086000412,,,,,1,,,3,7,12,17,18,9,67
12086000413,,,,,1,,1,4,4,4,5,8,4,31
12086000414,,,,,,,1,1,3,5,4,11,7,32
12086000501,,,,,1,,1,3,2,13,6,6,12,44
12086000503,2,,,,,,2,2,5,7,6,9,7,40
12086000504,1,,,,,,2,1,2,9,8,5,11,39
12086000505,1,,,,,1,,1,4,7,4,7,20,45
12086000601,,,,,,2,,,4,7,6,25,19,63
12086000602,1,,,,,1,,1,3,1,6,23,23,59
12086000603,,,,,,,,,1,8,7,13,27,56
12086000604,,,,,,,,1,3,5,14,18,26,67
12086000605,,,,,,1,,,7,8,9,11,13,49
12086000607,,,,,,,,1,,4,7,14,19,45
12086000608,,,,,1,,1,1,5,11,8,19,22,68
12086000705,,,,,,,,,2,6,9,11,20,48
12086000706,,,,,,,1,,3,8,9,21,33,75
12086000707,,,,,,,,,4,1,5,16,28,54
12086000708,,,,,,,1,1,2,5,7,20,41,77
12086000709,,,2,,1,1,,,3,8,12,31,24,82
12086000710,,,,,,,,,3,4,11,10,10,38
12086000711,,,,,,,,5,3,7,8,17,18,58
12086000712,,,,,,,,,3,3,4,5,4,19
12086000804,,,,,,,1,,2,4,4,18,17,46
12086000805,,,,,,,1,2,5,3,11,20,19,61
12086000806,,,,,,,1,,3,4,13,30,36,87
12086000807,,,,,,,1,1,4,2,11,6,7,32
12086000808,,,,,,,,1,2,5,3,20,13,44
12086000901,1,,,,,,2,,5,10,7,27,14,66
12086000902,1,,,,,,,1,9,9,11,19,15,65
12086000903,,1,,1,1,,,2,1,3,9,11,7,36
12086001002,,,,,1,3,3,,7,14,16,23,12,79
