Health C_1,BHCMIS Org,BPHC Assig,Site Name,Site Addre,Site City,Site State,Geocoding,Geocodin_1
LALCS00038,05E00734,BPS-LAL-009759,Knox/Winamac Community Health Centers,1002 S Edgewood Dr,Knox,IN,-86.61273609,41.28766331
LALCS31260,05E01271,BPS-LAL-021465,Aspire Indiana Health - Noblesville,17840 Cumberland Rd,Noblesville,IN,-85.99477701,40.04981576
LALCS33817,05E01374,BPS-LAL-031404,Family Health Center,1027 Washington Ave Ste B,Vincennes,IN,-87.51884681,38.68125264
LALCS35348,04E01393,BPS-LAL-030537,METRO St. Petersburg,3251 3rd Ave N,Saint Petersburg,FL,-82.67811349,27.77546358
LALCS31530,07E01273,BPS-LAL-030556,Sharon Lee Family Health Care Turner,2002 S 51st St,Kansas City,KS,-94.69587697,39.06333416
LALCS33897,03E01379,BPS-LAL-030257,Star Wellness Dental Van - Bethlehem,511 E 3rd St Unit 301,Bethlehem,PA,-75.37163465,40.61219134
LALCS43504,04E01431,BPS-LAL-032797,Physicians Care of Grove Hill,127 Clark St Ste C,Grove Hill,AL,-87.77692209,31.70763594
LALCS42065,07E01429,BPS-LAL-032535,Holy Family Medical,144 S Hillside St,Wichita,KS,-97.29890977,37.68497201
LALCS33895,03E01378,BPS-LAL-030260,"Logan Mingo Area Mental Health, Inc.",2954 Buffalo Creek Rd,Williamson,WV,-82.25491945,37.7083866
LALCS00012,9.00E+153,BPS-LAL-009721,Castle family Health center @Bloss,1251 Grove Ave,Atwater,CA,-120.6072049,37.35097087
LALCS40177,09E01411,BPS-LAL-031692,Primary Healthcare Services @ Tarzana Treatment Centers,18646 Oxnard St,Tarzana,CA,-118.5397309,34.17993343
LALCS00171,04E01130,BPS-LAL-031245,South Fort Myers Ob/Gyn Medical Office,9800 S Healthpark Dr Ste 205,Fort Myers,FL,-81.91480592,26.50268277
LALCS00076,09E00703,BPS-LAL-009814,Paradise Medical Office,401 Paradise Rd Ste E,Modesto,CA,-121.0133189,37.62683005
LALCS00040,06E00612,BPS-LAL-009766,El Pueblo Health Services,121 Calle Del Presidente,Bernalillo,NM,-106.5474048,35.30551595
LALCS39531,05E01394,BPS-LAL-031063,Grace Clinic - Putnam County,239 Hillsdale Ave Ste A,Greencastle,IN,-86.8590943,39.64888
LALCS00171,04E01130,BPS-LAL-029630,Page Field Pediatric Office,4751 S Cleveland Ave,Fort Myers,FL,-81.87176582,26.59279823
LALCS32583,05E01325,BPS-LAL-027098,West Union Clinic,192 Chestnut Ridge Rd,West Union,OH,-83.53404838,38.79387395
