Compa,NAICS,Latit,Longi
REINEW EQUITY LLC,CONSUMER LENDING,33.564509,-86.890245
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,33.6461,-86.6819
US TITLE LOANS,CONSUMER LENDING,33.559161,-86.890642
SITNASUAK FINANCE SVC,CONSUMER LENDING,61.181394,-149.883695
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,33.5642,-86.8952
TITLE MAX,CONSUMER LENDING,33.293506,-86.811272
ALWAYS MONEY,CONSUMER LENDING,33.174129,-86.287131
CASH MONSTER INC,CONSUMER LENDING,33.6422,-86.5773
ALWAYS MONEY,CONSUMER LENDING,33.479636,-86.841519
ADVANCE AMERICA,CONSUMER LENDING,33.495448,-86.877857
SUPREME LENDING,CONSUMER LENDING,33.409318,-86.765071
EASYMONEY CASH CENTERS,CONSUMER LENDING,33.424669,-86.701349
MARINER FINANCE,CONSUMER LENDING,33.364345,-86.822767
REPUBLIC FINANCE INC,CONSUMER LENDING,33.366769,-86.797322
FIRST AVENUE FUNDING,CONSUMER LENDING,33.513332,-86.799882
CHECK INTO CASH,CONSUMER LENDING,33.46517,-86.909157
GLOBAL FINANCE & INVESTMENT CO,CONSUMER LENDING,64.821169,-147.785681
ATLANTA TITLE LOANS,CONSUMER LENDING,33.608934,-86.689545
SECURITY FINANCE,CONSUMER LENDING,33.58568,-86.28738
ALWAYS MONEY,CONSUMER LENDING,33.587327,-86.282591
ACCEPTANCE LOAN CO,CONSUMER LENDING,33.1674,-86.2542
EASYMONEY CASH CENTERS,CONSUMER LENDING,33.568678,-86.898559
AAA BETWEEN PAY LLC,CONSUMER LENDING,33.460552,-86.907967
ALWAYS MONEY,CONSUMER LENDING,33.558962,-86.519184
CENTRO DE SERVICIO HISPANO,CONSUMER LENDING,61.223919,-149.806253
ARRC,CONSUMER LENDING,61.599855,-149.110912
ALTERNTIVE FINCL SOLUTIONS LLC,CONSUMER LENDING,33.505309,-86.85723
WORLD FINANCE,CONSUMER LENDING,33.5635,-86.2703
AFFORDABLE LOAN CO,CONSUMER LENDING,61.175913,-149.874858
REGIONAL FINANCE CORP,CONSUMER LENDING,31.319497,-85.830226
WORLD FINANCE,CONSUMER LENDING,34.7899,-86.9771
SECURITY FINANCE,CONSUMER LENDING,33.610733,-86.687281
TOWER LOAN,CONSUMER LENDING,31.3153,-85.8508
ACCEPTANCE LOAN CO,CONSUMER LENDING,31.530841,-87.891619
CREDITCENTRAL,CONSUMER LENDING,31.23207,-85.43175
AG RESOURCE MANAGEMENT,CONSUMER LENDING,35.815211,-90.727825
LOAN MAX TITLE LOANS,CONSUMER LENDING,33.494039,-112.144176
CHECK INTO CASH,CONSUMER LENDING,32.610501,-85.463661
DISCOUNT TITLE PAWN,CONSUMER LENDING,34.735443,-86.63181
COMMUNITY LOANS OF AMERICA,CONSUMER LENDING,33.632853,-85.825917
EASYMONEY CASH CENTERS,CONSUMER LENDING,31.248085,-85.424427
ADVANCE AMERICA,CONSUMER LENDING,33.145668,-86.749578
1ST FRANKLIN FINANCIAL CORP,CONSUMER LENDING,32.837968,-86.631494
ADVANCE AMERICA,CONSUMER LENDING,32.944832,-87.141768
LCL VARIETY SHOP,CONSUMER LENDING,31.524718,-87.324074
TOWER LOAN,CONSUMER LENDING,33.6584,-85.8264
TMS GROUP INC,CONSUMER LENDING,32.345248,-86.176043
CHESTERFIELD CO-LOANS,CONSUMER LENDING,32.376911,-86.309602
GENERAL FINANCE SVC,CONSUMER LENDING,32.376255,-86.307497
1 STOP CASH,CONSUMER LENDING,32.385354,-86.259036
CASH COW,CONSUMER LENDING,31.879202,-85.148705
CREDITCENTRAL,CONSUMER LENDING,32.552154,-85.921062
EQUITY GROUP INC,CONSUMER LENDING,31.8932,-85.138
CHECK 'N GO,CONSUMER LENDING,32.32762,-86.248352
BOSTON PREMIUM FINANCE,CONSUMER LENDING,26.141359,-80.3421
ALLIANCE CAPITAL CORP,CONSUMER LENDING,33.477739,-86.790776
ADVANCE AMERICA,CONSUMER LENDING,33.530628,-86.716623
WESTERN FINANCE SVC,CONSUMER LENDING,34.573749,-87.011619
CHECK INTO CASH,CONSUMER LENDING,31.13554,-87.067329
